City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,caravelas,-17.7125,-39.2481,22.3,89,83,2.97,Caravelas,1684893835
249,cabo san lucas,22.8909,-109.9124,29.78,61,92,5.66,Cabo San Lucas,1684893805
250,ustka,54.5805,16.8619,12.58,99,100,2.51,Ustka,1684893445
251,general roca,-39.0333,-67.5833,9.23,41,0,1.95,General Roca,1684893842
252,mehamn,71.0357,27.8492,5.97,100,100,1.03,Mehamn,1684893842
253,cockburn town,21.4612,-71.1419,27.2,76,0,1.58,Cockburn Town,1684893843
254,bethel,41.3712,-73.414,13.09,76,12,1.48,Bethel,1684893745
255,lagoa,39.05,-27.9833,16.45,68,100,6.24,Lagoa,1684893843
256,dudinka,69.4058,86.1778,0.9,88,89,3.36,Dudinka,1684893773
257,oxbow,49.2333,-102.1676,15.91,64,25,8.93,Oxbow,1684893844
258,hauterive,46.0901,3.4459,14.42,96,34,1.65,Hauterive,1684893844
259,ulaangom,49.9811,92.0667,13.84,39,7,0.81,Ulaangom,1684893844
260,hun,29.1268,15.9477,24.49,24,2,7.45,Hūn,1684893844
261,lodwar,3.1191,35.5973,28.07,52,21,5.04,Lodwar,1684893845
262,rawson,-43.3002,-65.1023,11.27,37,0,4.92,Rawson,1684893845
263,sambava,-14.2667,50.1667,21.98,92,20,1.83,Sambava,1684893846
264,nanortalik,60.1432,-45.2371,-0.97,80,75,2.8,Nanortalik,1684893846
265,itarema,-2.9248,-39.9167,25.38,88,20,4.11,Itarema,1684893846
266,san quintin,30.4833,-115.95,16.65,80,35,4.82,San Quintín,1684893846
267,cherskiy,68.75,161.3,15.05,30,100,6.16,Cherskiy,1684893846
268,kokologo,12.1897,-1.8856,30.92,47,41,3.3,Kokologo,1684893847
269,sungaipenuh,-2.0833,101.3833,23.82,70,10,0.93,Sungai Penuh,1684893847
270,deputatskiy,69.3,139.9,-1.49,92,100,1.66,Deputatsky,1684893848
271,eureka,40.8021,-124.1637,13.44,79,0,2.68,Eureka,1684893615
272,kirakira,-10.4544,161.9205,29.49,74,72,2.46,Kirakira,1684893848
273,imbituba,-28.24,-48.6703,18.98,92,7,3.23,Imbituba,1684893849
274,bowen,-20.0167,148.2333,24.3,57,47,8.62,Bowen,1684893849
275,bambous virieux,-20.3428,57.7575,22.14,83,40,1.03,Bambous Virieux,1684893850
276,blenheim,-41.516,173.9528,15.29,60,88,2.24,Blenheim,1684893850
277,kodiak,57.79,-152.4072,5.81,98,100,4.56,Saint Paul Harbor,1684893850
278,tenenkou,14.4572,-4.9169,35.17,28,100,3.54,Ténenkou,1684893851
279,lompoc,34.6391,-120.4579,15.99,79,100,4.47,Lompoc,1684893732
280,upernavik,72.7868,-56.1549,-3.79,84,99,5.39,Upernavik,1684893851
281,bathsheba,13.2167,-59.5167,27.34,83,75,3.6,Bathsheba,1684893851
282,islamabad,33.7104,73.1338,24.91,67,100,2.99,Islamabad,1684893852
283,laminusa,5.5549,120.9136,28.36,76,85,3.03,Laminusa,1684893852
284,antofagasta,-23.65,-70.4,15.6,89,50,2.36,Antofagasta,1684893852
